Code,Product Name,Unit,Current Stock,Sales Scheme Deal,Sales Scheme Free,Purch Scheme Deal,Purch Scheme Free
0000167,MEGACEF CV 100 DRY SYP 30ML,PCS,65,0,0,76,24
0000668,MEGAHEAL GEL 15GM 15GM,PCS,20,0,0,0,0
0000669,MEGAHEAL GEL 50GM 50GM,PCS,10,0,0,0,0
it10016,MEGALIS -T TAB 1*10,PCS,0,0,0,0,0
0000612,MEGALIS 5 TAB 1*10,PCS,9,0,0,0,0
0000611,MEGALIS D 4'S 1*4,PCS,21,0,0,0,0
it9470,MEGALIS-10 1*4,PCS,32,0,0,0,0
it9471,MEGALIS-20 1*4,PCS,36,0,0,0,0
it10366,MEGANEURON- OD PLUS 1*10,PCS,0,0,0,0,0
0000686,MEGAPEN CAP 1*10,PCS,30,0,0,0,0
0000671,MEGAPEN KID TAB 1*10,PCS,30,0,0,0,0
it10719,MEGAZOLID 100 OS 30ML,PCS,13,0,0,0,0
it8036,MEGO XL + INJ 1X2ML,PCS,0,0,0,0,0
it8035,MEGO XL CAP 1X10,PCS,0,0,0,0,0
it8840,MELOKALM TAB 1*10,PCS,0,0,0,0,0
it10886,MELORA TAB 1*10,PCS,0,0,0,0,0
it10035,MENI 16 TAB 1*10,PCS,0,0,0,0,0
it9955,MENOREG SYP 1*300ML,PCS,10,0,0,0,0
it10715,MERO 1GM INJ VAIL,PCS,40,0,0,0,0
it9737,MEROMAC .5 GM INJ VIAL,PCS,79,0,0,0,0
it9295,MEROMAC 125 INJ 1*5ML,PCS,29,0,0,0,0
it9576,MEROMAC 1GM VIAL,PCS,57,0,0,0,0
it9736,MEROMAC 250 INJ VIAL,PCS,38,0,0,0,0
it9667,MEROMAC PLUS VAIL 1*20ML,PCS,11,0,0,0,0
it7482,MEROTEC-125 INJ 1X125MG,PCS,0,0,0,0,0
it8456,MEROTEC-250MG INJ 1X250MG,PCS,0,0,0,0,0
it10616,MERROBE 1GM INJ INJ,PCS,4,0,0,0,0
0000613,METACORTIL CRM 10GM,PCS,0,0,0,0,0
it9964,METACORTIL-LITE CREEM 15GM,PCS,27,21,4,0,0
it9614,METOCARD AM TAB 1*10,PCS,13,0,0,0,0
it10405,METOCARD AMT 50 TAB 1*10,PCS,70,0,0,0,0
it8361,METOCARD H 50 TAB 1X10,PCS,16,0,0,0,0
it10291,METOCARD T 25 TAB 1*15,PCS,0,0,0,0,0
it10290,METOCARD T 50 TAB 1*15,PCS,0,0,0,0,0
it10084,METOCARD XL 100 TAB 1*10,PCS,15,0,0,0,0
it8957,METOCARD XL 12.5 TAB 1*10,PCS,12,0,0,0,0
it8328,METOCARD XL 25 TAB 1X10,PCS,30,0,0,0,0
it8329,METOCARD XL 50 TAB 10*10,PCS,15,0,0,0,0
it9606,METOCARD XL 75 TAB 1*20,PCS,9,0,0,0,0
it10138,METOMAC 50 TAB 1*10,PCS,14,0,0,0,0
it7485,METRIDE 1 MG TAB 1X15,PCS,0,0,0,0,0
it7811,METRIDE 2MG TAB 1X10,PCS,14,0,0,0,0
it7486,METRIDE PLUS 1MG 1X10,PCS,10,0,0,0,0
it7974,METRIDE PLUS 2MG TAB 1X10,PCS,15,0,0,0,0
it8305,METROGYL 200MG TAB 1X15,PCS,1145,0,0,0,0
it8270,METROGYL 400MG TAB 70*15,PCS,791,0,0,0,0
it8290,METROGYL DG FRTE GEL 1X20GM,PCS,0,0,0,0,0
it10341,METROGYL DG LA GEL 15GM,PCS,0,0,0,0,0
it8569,METROGYL ER TAB 15X10,PCS,60,0,0,0,0
it8359,METROGYL GEL 2% 1X30GM,PCS,11,0,0,0,0
it8355,METROGYL IV 100ML 1X100ML,PCS,3,0,0,0,0
it8604,METROGYL M OINT. 5 GM 1*5GM,PCS,19,0,0,0,0
0000133,METROGYL O TAB 1*10,PCS,22,0,0,0,0
it8308,METROGYL SUSP 100ML 100ML,PCS,502,0,0,0,0
it8291,METROGYL-P 2% OIN 1X20GM,PCS,62,0,0,0,0
it10207,MEVA SR CAPSULES 10*15,PCS,0,0,0,111,9
it10285,MIDORISE 2.5 MG TAB 1*10,PCS,39,0,0,0,0
it10510,MIDORISE 5 MG TAB 1*10,PCS,19,0,0,0,0
it9822,MIFEGEST KIT- 20*1,PCS,67,0,0,0,0
0000552,MIFEGEST TAB 1,PCS,8,0,0,0,0
it10531,MIGON PLUS TAB 10*10,PCS,101,0,0,0,0
it10662,MIKACIN 100mg INJ VIAL,PCS,0,0,0,21,19
it10663,MIKACIN 500mg INJ VAIL,PCS,0,0,0,10,15
it10838,MIKATERO INJ 500MG 1,PCS,1400,0,0,0,0
it8812,MILIBACT IN 1.5GM 1VAIL,PCS,700,0,0,0,0
it8866,MILICLAV 228.5MG DRY SYP 1*228.5MG,PCS,0,0,0,4,1
it8865,MILICLAV 625 TAB 1*10,PCS,71,0,0,10,3
it8867,MILICLAV FORTE 457MG DRY SYP 1*30ML,PCS,0,0,0,5,1
it8661,MILIXIM 100MG TAB 1*10,PCS,0,0,0,5,1
it8660,MILIXIM 200 TAB 1*10,PCS,595,0,0,306,54
it9167,MILIXIM 400 TAB 1**10,PCS,50,0,0,5,1
it8663,MILIXIM 50DT TAB 1*10,PCS,0,0,0,0,0
it8667,MILIXIM CV 200MG 1*10,PCS,0,0,0,9,1
it8935,MILIXIM CV 50 DS 1*30ML,PCS,0,0,0,9,1
it8666,MILIXIM DRY SYP 100MG 1*30ML,PCS,0,0,0,5,1
it8676,MILIXIM M TAB 1*5,PCS,53,0,0,5,1
it8668,MILIXIM O 100DT TAB 1*10,PCS,84,0,0,5,1
it8665,MILIXIM O TAB 1*10,PCS,33,0,0,5,1
it8670,MILIXIM OZ TAB 1*10,PCS,0,0,0,9,1
it8814,MILIXIM-O 400SR TAB 10*5,PCS,0,0,0,5,1
it9002,MINIPRESS XL 2.5 MG TAB 1*30,PCS,0,0,0,0,0
it9003,MINIPRESS XL 5 MG TAB 1*30,PCS,0,0,0,0,0
it10858,MINMIN PB 1*15,PCS,0,0,0,0,0
0000423,MINMIN TONIC 200ML 1,PCS,5,0,0,0,0
it9602,MIRABET 25 TAB 1*10,PCS,0,0,0,0,0
it9296,MIRABET 50 TAB 1*10,PCS,18,0,0,0,0
it10105,MIRABET S 25 1*10,PCS,0,0,0,0,0
it10106,MIRABET S 50 1*10,PCS,2,0,0,0,0
0000706,MIRASMART 50 TAB 1*10,PCS,0,0,0,0,0
it10751,MIRASMART S 25 TAB 1*10,PCS,0,0,0,0,0
it10027,MMS CREAM 10GM 1,PCS,0,0,0,5,1
it10165,MMS CREAM 30 GM 1,PCS,2,0,0,5,1
0000566,MODLIP 10 TAB 1*15,PCS,8,0,0,0,0
it7490,MODLIP 20 TAB 1X10,PCS,10,0,0,0,0
it8420,MODLIP ASG 75 CAP 1X10,PCS,3,0,0,0,0
0000524,MODLIP ASG 75/20 CAP 1*10,PCS,0,0,0,0,0
it8655,MOISTE 50GM 1,PCS,0,0,0,0,0
0000204,MOLNUTOR 200 CAP 1*10,PCS,0,0,0,0,0
0000673,MONOCEF 1GM INJ VIAL,PCS,41,1,1,0,0
0000675,MONOCEF 250MG INJ VIAL,PCS,0,10,5,0,0
0000674,MONOCEF 500MG INJ VIAL,PCS,0,0,0,0,0
it10869,MONOCEF ESB 1.5GM INJ VIAL,PCS,13,0,0,0,0
0000680,MONOCEF O 100MG ORAL SUSP 30ML,PCS,0,9,1,0,0
0000682,MONOCEF O 100MG TAB 1*10,PCS,6,0,0,0,0
0000676,MONOCEF O 200MG TAB 1*10,PCS,60,0,0,0,0
0000677,MONOCEF O 50MG ORAL SUSP 30ML,PCS,34,0,0,0,0
0000740,MONOCEF O 50MG TAB 1*10,PCS,0,0,0,0,0
0000739,MONOCEF O CV 100 SYP 30ML,PCS,4,0,0,0,0
0000678,MONOCEF O CV 200MG TAB 1*10,PCS,0,0,0,0,0
0000679,MONOCEF O CV 50MG ORAL SUSP 30ML,PCS,0,0,0,0,0
0000681,MONOCEF O DROP 10ML,PCS,0,0,0,0,0
it10791,MONOCEF O KID 50 TAB 1*10,PCS,10,0,0,0,0
0000684,MONOCEF SB 1.5G INJ VIAL,PCS,78,10,26,0,0
it10664,MONTAZ 1GM INJ VAIL,PCS,0,0,0,0,0
it10665,MONTAZ 250MG INJ VAIL,PCS,0,0,0,10,12
it10666,MONTAZ 500MG INJ VAIL,PCS,0,0,0,10,7
0000564,MONTEMAC FX 180 1*10,PCS,0,0,0,0,0
it9302,MONTEMAC FX TAB 1*10,PCS,9,0,0,0,0
it9508,MONTEMAC-L TAB 1*10,PCS,3,0,0,0,0
it10713,MONTINA FX TAb 1*10,PCS,15,0,0,0,0
it10712,MONTINA L SYP 30ML,PCS,24,0,0,0,0
it10711,MONTINA L TAB 1*10,PCS,2,0,0,0,0
0000265,MOSI EYE DROP 5ML,PCS,33,0,0,0,0
0000379,MOSI-D EYE DROPS 10ML 1,PCS,65,0,0,0,0
it9006,MOXIF 400 TAB 5*5,PCS,15,0,0,0,0
it10326,MOXIF IV 100 ML 1,PCS,0,0,0,0,0
it9723,MOXIMAC IV 100ML,PCS,0,0,0,0,0
it9303,MOXIMAC TAB 1*10,PCS,0,0,0,0,0
it9443,MOXOVAS 0.2 TAB 1*10,PCS,54,0,0,0,0
it9507,MOXOVAS 0.3 TAB 1*10,PCS,50,0,0,0,0
it9018,MPX CV 625 1*10,PCS,0,0,0,0,0
it9040,MPX CV KIT DT *6,PCS,0,0,0,0,0
it7787,MUCAINE GEL MINT SYP 1X200ML,PCS,89,0,0,0,0
it9962,MUCARYL 600 TAB 1*10,PCS,0,0,0,0,0
0000649,MUCORIS NASAL SPAREY 0.1% 10ML,PCS,0,0,0,0,0
0000650,MUCORIS P NASAL DROP .05% 10ML,PCS,0,0,0,0,0
it10121,MUMFER XT TAB 1*15,PCS,0,0,0,14,1
it10839,MUMMUM-1 200 GM PCS,PCS,6,0,0,0,0
